Query	Reference	Core	Accessory
IN01	BWH222	0.03157757460757882	0.22597027826394622
IN01	BWH134	0.03803607765158523	0.21474698905688017
IN01	BWH136	0.037696683874802406	0.24543896280711697
IN01	BWH137	0.037250434434167756	0.24781016021344837
IN01	BWH138	0.011436661072597998	0.17362954617327797
IN01	BWH139	0.03759025087526835	0.24196124563893162
IN01	BWH148	0.013107516073227021	0.17597533051814607
IN01	BWH149	0.03826379911820832	0.22750887746694815
IN01	BWH153	0.03712871896070191	0.25548860728104816
IN01	BWH159	0.018377465077157762	0.1833858912461419
IN01	BWH162	0.013011890225427925	0.09859439240931611
IN01	BWH169	0.03761446274177782	0.25987811585533993
IN01	BWH194	0.0199717218297637	0.18296092796523322
IN01	BWH195	0.037362776790178964	0.2791858350059162
IN01	BWH196	0.019741399438376273	0.1755866598012361
IN01	BWH197	0.03264953422753891	0.21962092945576062
IN01	BWH198	0.0383215866988329	0.2597273577464787
IN01	BWH202	0.02134903249836284	0.17382598893020784
IN01	BWH204	0.012639705795935985	0.10122662158860007
IN01	BWH205	0.03827226961539976	0.2599891673708321
IN01	BWH221	0.03177449770702889	0.22175396987910356
IN01	BWH232	0.037276470025665476	0.25458939703093775
IN01	BWH233	0.03725054029367214	0.25609463264441756
IN01	BWH253	0.03823018382541976	0.25755760217090307
IN01	BWH257	0.03764354642265455	0.2541190622534828
IN01	BWH258	0.03743084377465744	0.266757964095262
IN01	BWH262	0.03730593945557825	0.2620843758066851
IN01	BWH263	0.032946046748320135	0.21147671997303652
IN01	BWH265	0.031495755998791175	0.2446382203148143
IN01	BWH280	0.03284466387019336	0.19052074955268916
IN01	BWH281	0.0373098100697874	0.24340216542023851
IN01	BWH283	0.0375886183763412	0.26411556109727286
IN01	BWH284	0.010949937642406926	0.11341758942011326
IN01	BWH309	0.013664215125992918	0.17201862693944237
IN01	BWH316	0.037574743969547186	0.24535966434551715
IN01	BWH317	0.0354610511790151	0.23868580440017884
IN01	BWH319	0.036239807805005575	0.2516881405436311
IN01	BWH325	0.03778017161053526	0.2509228603508078
IN01	BWH326	0.03577947385903901	0.26051420978203366
IN01	BWH327	0.038028940718142334	0.2526248807288406
IN01	BWH338	0.03792692375382267	0.2656254987732557
IN01	BWH344	0.03227213613598667	0.21906467525332785
IN01	BWH347	0.03776085739739499	0.26527620672563734
IN01	BWH364	0.03742716886004094	0.25043106128365555
IN01	BWH367	0.03789600694653594	0.25412329983510573
IN01	BWH368	0.037442541070130564	0.2427340447596512
IN01	BWH369	0.01042776947909696	0.1290958415504927
IN01	BWH370	0.01992692542730179	0.1639028537423275
IN01	BWH394	0.011093143437295727	0.15249668825912666
IN01	BWH399	0.01080529556745502	0.13909875641784986
IN01	BWH404	0.036580476235757775	0.252910327160604
IN01	BWH405	0.037943763947603903	0.23835597230887362
IN01	BWH409	0.03846561738000842	0.2592551453910791
IN01	BWH410	0.03447265070227912	0.20957415177963845
IN01	BWH453	0.0328090750547152	0.20671372402048582
IN01	BWH467	0.03241914250358535	0.19623519702993641
IN01	BWH477	0.03730233094109714	0.25773065022184494
IN01	BWH478	0.03758363291626432	0.2705240942886752
IN01	BWH479	0.03253356031247301	0.20998042072591805
IN01	BWH483	0.03862302931471506	0.24881316444934287
IN01	BWH60	0.03763179886249102	0.24584945075644227
IN01	BWH76	0.037568523372902174	0.2516680826030383
IN01	HPRU0243	0.03317394623703551	0.22596819813416757
IN01	HPRU0308	0.03286985144164967	0.23068027456131468
IN01	HPRU0122	0.03340858479645181	0.20877523274571252
IN01	HPRU0218	0.03284200673774351	0.20643517958336388
IN01	HPRU0167	0.03813097857075565	0.2535368568630856
IN01	HPRU0304	0.0397560655947502	0.249134240149255
IN01	HPRU0398	0.038409416215738235	0.24971274075074934
IN01	HPRU0416	0.03896302020650577	0.2586408661435714
IN01	HPRU0422	0.03787939614378344	0.26307216871578554
IN01	HPRU0487	0.037854822569944324	0.2632019138940356
IN01	HPRU0889	0.03954862496453193	0.2452736830471195
IN01	MG1655	0.019306158599824763	0.15167046260019945
IN01	CFT073	0.03919016563176847	0.25581099600139245
IN01	ATCC25922	0.03905961222539445	0.25156714651857215
IN01	EC958	0.03734680813618385	0.25676727658602827
IN01	UTI89	0.03870254956991315	0.24354739141153647
IN01	UMN026	0.03301176145499751	0.21561119287266484
IN02	IN03	0.039019560727856284	0.24265243202627518
IN02	IN04	0.03320778230823518	0.22324989664476136
IN02	IN05	0.009533842364069955	0.14911274588776113
IN02	IN06	0.03704143044492736	0.26231998211887675
IN02	IN07	0.038705767423284465	0.24739011934886201
IN02	IN08	0.018204712563654524	0.19015599941003536
IN02	IN09	0.03813436374802148	0.2391413512732563
IN02	ST2747	0.03224719395536679	0.2070131096340868
IN02	ST2747a	0.032190639682868394	0.20637653125068445
IN02	ST2747an	0.03248420254666018	0.21001728165878486
IN02	ST540	0.01773985695497471	0.16353687840875453
IN02	ST540a	0.017779714687894965	0.16036293599842988
